codigo_ibge;municipio;ano;rendimento_kgha;producao_ton
4304101;Campos Borges - RS;2022;925;7334
4304101;Campos Borges - RS;2023;1224;12235
4304200;Candelária - RS;2019;3540;67260
4304200;Candelária - RS;2020;1950;38025
4304200;Candelária - RS;2021;3600;70200
4304200;Candelária - RS;2022;2700;52650
4304200;Candelária - RS;2023;2460;50430
4304309;Cândido Godói - RS;2019;3000;26400
4304309;Cândido Godói - RS;2020;2640;23228
4304309;Cândido Godói - RS;2021;3000;26400
4304309;Cândido Godói - RS;2022;445;3480
4304309;Cândido Godói - RS;2023;1080;9720
4304358;Candiota - RS;2019;2700;37800
4304358;Candiota - RS;2020;108;1944
4304358;Candiota - RS;2021;3000;57000
4304358;Candiota - RS;2022;2250;42750
4304358;Candiota - RS;2023;480;9120
4304408;Canela - RS;2019;0;0
4304408;Canela - RS;2020;0;0
4304408;Canela - RS;2021;0;0
4304408;Canela - RS;2022;0;0
4304408;Canela - RS;2023;0;0
4304507;Canguçu - RS;2019;3000;129000
4304507;Canguçu - RS;2020;1740;74820
4304507;Canguçu - RS;2021;3500;157500
4304507;Canguçu - RS;2022;2280;118560
4304507;Canguçu - RS;2023;2100;128100
4304606;Canoas - RS;2019;2000;216
4304606;Canoas - RS;2020;1400;112
4304606;Canoas - RS;2021;2000;160
4304606;Canoas - RS;2022;2000;160
4304606;Canoas - RS;2023;1700;136
4304614;Canudos do Vale - RS;2019;0;0
4304614;Canudos do Vale - RS;2020;0;0
4304614;Canudos do Vale - RS;2021;0;0
4304614;Canudos do Vale - RS;2022;0;0
4304614;Canudos do Vale - RS;2023;0;0
4304622;Capão Bonito do Sul - RS;2019;4080;108120
4304622;Capão Bonito do Sul - RS;2020;2500;66250
4304622;Capão Bonito do Sul - RS;2021;3600;93600
4304622;Capão Bonito do Sul - RS;2022;2100;53550
4304622;Capão Bonito do Sul - RS;2023;2700;70200
4304630;Capão da Canoa - RS;2019;0;0
4304630;Capão da Canoa - RS;2020;0;0
4304630;Capão da Canoa - RS;2021;0;0
4304630;Capão da Canoa - RS;2022;0;0
4304630;Capão da Canoa - RS;2023;0;0
4304655;Capão do Cipó - RS;2019;2835;179716
4304655;Capão do Cipó - RS;2020;1391;88635
4304655;Capão do Cipó - RS;2021;3257;206831
4304655;Capão do Cipó - RS;2022;635;39045
4304655;Capão do Cipó - RS;2023;641;40950
4304663;Capão do Leão - RS;2019;2520;22869
4304663;Capão do Leão - RS;2020;1650;15097
4304663;Capão do Leão - RS;2021;3540;34019
4304663;Capão do Leão - RS;2022;3360;33902
4304663;Capão do Leão - RS;2023;2520;25956
4304671;Capivari do Sul - RS;2019;3000;13500
4304671;Capivari do Sul - RS;2020;2700;18900
4304671;Capivari do Sul - RS;2021;3200;22560
4304671;Capivari do Sul - RS;2022;3200;29760
4304671;Capivari do Sul - RS;2023;3100;32550
4304689;Capela de Santana - RS;2019;0;0
4304689;Capela de Santana - RS;2020;1680;336
4304689;Capela de Santana - RS;2021;1680;336
4304689;Capela de Santana - RS;2022;2500;1300
4304689;Capela de Santana - RS;2023;1750;1050
4304697;Capitão - RS;2019;0;0
4304697;Capitão - RS;2020;0;0
4304697;Capitão - RS;2021;0;0
4304697;Capitão - RS;2022;2200;11
4304697;Capitão - RS;2023;3200;16
4304705;Carazinho - RS;2019;3482;140748
4304705;Carazinho - RS;2020;2584;102636
4304705;Carazinho - RS;2021;3484;138732
4304705;Carazinho - RS;2022;2106;82770
4304705;Carazinho - RS;2023;2114;84780
4304713;Caraá - RS;2019;3600;144
4304713;Caraá - RS;2020;1800;72
4304713;Caraá - RS;2021;3600;216
4304713;Caraá - RS;2022;3600;216
4304713;Caraá - RS;2023;3600;216
4304804;Carlos Barbosa - RS;2019;0;0
4304804;Carlos Barbosa - RS;2020;0;0
4304804;Carlos Barbosa - RS;2021;0;0
4304804;Carlos Barbosa - RS;2022;0;0
4304804;Carlos Barbosa - RS;2023;0;0
4304853;Carlos Gomes - RS;2019;3500;11550
4304853;Carlos Gomes - RS;2020;2400;8160
4304853;Carlos Gomes - RS;2021;3700;12580
4304853;Carlos Gomes - RS;2022;1800;6480
4304853;Carlos Gomes - RS;2023;3600;12960
4304903;Casca - RS;2019;3600;30240
4304903;Casca - RS;2020;1200;10440
4304903;Casca - RS;2021;3700;32190
4304903;Casca - RS;2022;1850;16095
4304903;Casca - RS;2023;2700;24300
4304952;Caseiros - RS;2019;3600;28800
4304952;Caseiros - RS;2020;2880;23040
4304952;Caseiros - RS;2021;3300;26400
4304952;Caseiros - RS;2022;1500;12000
4304952;Caseiros - RS;2023;2400;19200
4305009;Catuípe - RS;2019;3600;125172
4305009;Catuípe - RS;2020;1649;56880
4305009;Catuípe - RS;2021;3800;132240
4305009;Catuípe - RS;2022;761;21300
4305009;Catuípe - RS;2023;1363;48400
4305108;Caxias do Sul - RS;2019;3200;1120
4305108;Caxias do Sul - RS;2020;2551;893
4305108;Caxias do Sul - RS;2021;2551;893
4305108;Caxias do Sul - RS;2022;2551;893
4305108;Caxias do Sul - RS;2023;3000;1500
4305116;Centenário - RS;2019;4000;25200
4305116;Centenário - RS;2020;2100;13230
4305116;Centenário - RS;2021;3300;21450
4305116;Centenário - RS;2022;2000;13000
4305116;Centenário - RS;2023;3400;22100
4305124;Cerrito - RS;2019;2400;15600
4305124;Cerrito - RS;2020;1620;11016
4305124;Cerrito - RS;2021;3300;22440
4305124;Cerrito - RS;2022;3600;25704
4305124;Cerrito - RS;2023;1920;15360
4305132;Cerro Branco - RS;2019;3120;3650
4305132;Cerro Branco - RS;2020;1800;2160
4305132;Cerro Branco - RS;2021;3300;4290
4305132;Cerro Branco - RS;2022;2520;3528
4305132;Cerro Branco - RS;2023;1680;2352
4305157;Cerro Grande - RS;2019;3300;10560
4305157;Cerro Grande - RS;2020;2400;7680
4305157;Cerro Grande - RS;2021;3600;11520
4305157;Cerro Grande - RS;2022;2500;8000
4305157;Cerro Grande - RS;2023;2340;6552
4305173;Cerro Grande do Sul - RS;2019;2700;432
4305173;Cerro Grande do Sul - RS;2020;1800;288
4305173;Cerro Grande do Sul - RS;2021;2700;459
4305173;Cerro Grande do Sul - RS;2022;3000;510
4305173;Cerro Grande do Sul - RS;2023;2100;840
4305207;Cerro Largo - RS;2019;3600;16200
4305207;Cerro Largo - RS;2020;1979;9300
4305207;Cerro Largo - RS;2021;2700;12690
4305207;Cerro Largo - RS;2022;180;423
4305207;Cerro Largo - RS;2023;600;2820
4305306;Chapada - RS;2019;3615;144600
4305306;Chapada - RS;2020;2640;105600
4305306;Chapada - RS;2021;3323;129600
4305306;Chapada - RS;2022;1829;76800
4305306;Chapada - RS;2023;2135;91800
4305355;Charqueadas - RS;2019;3000;9690
4305355;Charqueadas - RS;2020;1080;5057
4305355;Charqueadas - RS;2021;2500;11875
4305355;Charqueadas - RS;2022;1500;4403
4305355;Charqueadas - RS;2023;888;2448
4305371;Charrua - RS;2019;3780;35948
4305371;Charrua - RS;2020;2200;20482
4305371;Charrua - RS;2021;3300;31251
4305371;Charrua - RS;2022;2400;22896
4305371;Charrua - RS;2023;3600;35280
4305405;Chiapetta - RS;2019;3556;94943
4305405;Chiapetta - RS;2020;2864;72450
4305405;Chiapetta - RS;2021;3790;96654
4305405;Chiapetta - RS;2022;1107;32100
4305405;Chiapetta - RS;2023;2414;70017
4305439;Chuí - RS;2019;3513;5466
4305439;Chuí - RS;2020;2760;3588
4305439;Chuí - RS;2021;2503;5507
4305439;Chuí - RS;2022;3420;9593
4305439;Chuí - RS;2023;3420;15732
4305447;Chuvisca - RS;2019;0;0
4305447;Chuvisca - RS;2020;1250;25
4305447;Chuvisca - RS;2021;2800;56
4305447;Chuvisca - RS;2022;2800;280
4305447;Chuvisca - RS;2023;2400;288
4305454;Cidreira - RS;2019;3000;780
4305454;Cidreira - RS;2020;1600;208
4305454;Cidreira - RS;2021;3075;246
4305454;Cidreira - RS;2022;2508;163
4305454;Cidreira - RS;2023;2759;1650
4305504;Ciríaco - RS;2019;3500;42000
4305504;Ciríaco - RS;2020;1753;22789
4305504;Ciríaco - RS;2021;3500;45500
4305504;Ciríaco - RS;2022;1800;21600
4305504;Ciríaco - RS;2023;2280;29184
4305587;Colinas - RS;2019;3300;1650
4305587;Colinas - RS;2020;1882;941
4305587;Colinas - RS;2021;3300;1650
4305587;Colinas - RS;2022;1400;560
4305587;Colinas - RS;2023;2500;1250
4305603;Colorado - RS;2019;4200;76020
4305603;Colorado - RS;2020;2223;39606
4305603;Colorado - RS;2021;4500;79200
4305603;Colorado - RS;2022;2101;36906
4305603;Colorado - RS;2023;2101;37861
4305702;Condor - RS;2019;3750;110264
4305702;Condor - RS;2020;2362;69447
4305702;Condor - RS;2021;3633;106820
4305702;Condor - RS;2022;1850;54390
4305702;Condor - RS;2023;2022;61464
4305801;Constantina - RS;2019;3600;37440
4305801;Constantina - RS;2020;1800;21600
4305801;Constantina - RS;2021;3300;41250
4305801;Constantina - RS;2022;1800;22500
4305801;Constantina - RS;2023;2200;27500
4305835;Coqueiro Baixo - RS;2019;3000;60
4305835;Coqueiro Baixo - RS;2020;857;24
4305835;Coqueiro Baixo - RS;2021;3000;84
4305835;Coqueiro Baixo - RS;2022;1000;28
4305835;Coqueiro Baixo - RS;2023;1500;60
4305850;Coqueiros do Sul - RS;2019;3360;49728
4305850;Coqueiros do Sul - RS;2020;3000;44400
4305850;Coqueiros do Sul - RS;2021;3420;51300
4305850;Coqueiros do Sul - RS;2022;1800;27000
4305850;Coqueiros do Sul - RS;2023;2600;39702
4305871;Coronel Barros - RS;2019;3600;39600
4305871;Coronel Barros - RS;2020;1660;18260
4305871;Coronel Barros - RS;2021;3900;42900
4305871;Coronel Barros - RS;2022;507;5352
4305871;Coronel Barros - RS;2023;615;7170
4305900;Coronel Bicaco - RS;2019;3600;124200
4305900;Coronel Bicaco - RS;2020;2417;83400
4305900;Coronel Bicaco - RS;2021;3633;130800
4305900;Coronel Bicaco - RS;2022;1306;44400
4305900;Coronel Bicaco - RS;2023;3035;103200
4305934;Coronel Pilar - RS;2019;0;0
4305934;Coronel Pilar - RS;2020;0;0
